id_raccord;ID;type;nature
jmp_rap01;I25-6;rapprochement;indos
jmp_rap01;K24-355;rapprochement;indos
jmp_rac01;J25-75;raccord;indos
jmp_rac01;J25-81;raccord;indos
jmp_rac02;J25-431;raccord;indos
jmp_rac02;J25-432;raccord;indos
jmp_rac02;J25-433;raccord;indos
jmp_rac03;J26-79;raccord;indos
jmp_rac03;J26-85;raccord;indos
jmp_rac04;K24-238;raccord;indos
jmp_rac04;K24-350;raccord;indos
jmp_rac05;K24-404;raccord;indos
jmp_rac05;K24-419;raccord;indos
jmp_rac06;K25-127;raccord;indos
jmp_rac06;K25-151;raccord;indos
jmp_rac06;K25-183;raccord;indos
jmp_rap02;L24-159;rapprochement;indos
jmp_rap02;L24-162;rapprochement;indos
jmp_rac08;L25-47;raccord;indos
jmp_rac08;L25-120;raccord;indos
as_rac01;K23-118;raccord;lithique
as_rac01;K23-121;raccord;lithique
as_rac02;K25-214;raccord;lithique
as_rac02;K24-409;raccord;lithique
as_rap01;I25-33;rapprochement;lithique
as_rap01;J25-262;rapprochement;lithique
as_rap01;J25-190;rapprochement;lithique
as_rap01;J24-256;rapprochement;lithique
as_rap02;I25-41;rapprochement;lithique
as_rap02;K24-396;rapprochement;lithique
as_rap10;K25-361;rapprochement;lithique
as_rap10;K25-344;rapprochement;lithique
as_rap10;J25-195;rapprochement;lithique
